DBuid	StrainName	Date added	DNA	DNAextractNo	Species	Strain Background	Modifications	Source	Other notes (all are in ca. 15% glycerol)
A01	CBS432	26.05.2006	AH01,AI06,AI08		S. paradoxus type Europe	wild	none	CBS	plate a = grown from many colonies
A02	CBS432	26.05.2006	none		S. paradoxus type Europe	wild	none	CBS	plate a = grown from many colonies
A03	CBS432	26.05.2006	none		S. paradoxus type Europe	wild	none	CBS	plate a = grown from many colonies
A04	CBS432	26.05.2006	none		S. paradoxus type Europe	wild	none	CBS	plate b = grown from many colonies
A05	CBS432	26.05.2006	none		S. paradoxus type Europe	wild	none	CBS	plate b = grown from many colonies
A06	YJM	26.05.2006	AI04		S. cariocanus type Brazil	wild	none	CBS	plate a = grown from multiple colonies
A07	CBS8841	26.05.2006	none		S. cariocanus type Brazil	wild	none	CBS	plate a = grown from multiple colonies
A08	CBS8841	26.05.2006	none		S. cariocanus type Brazil	wild	none	CBS	plate a = grown from multiple colonies
A09	CBS8841	26.05.2006	none		S. cariocanus type Brazil	wild	none	CBS	plate b = grown from single
A10	CBS8841	26.05.2006	none		S. cariocanus type Brazil	wild	none	CBS	plate b = grown from single
A11	CBS8442	26.05.2006	AH02,AI07,AI09		S. paradoxus Far East	wild	none	CBS	plate a = grown from multiple colonies
A12	CBS8442	26.05.2006	none		S. paradoxus Far East	wild	none	CBS	plate a = grown from multiple colonies
A13	CBS8442	26.05.2006	none		S. paradoxus Far East	wild	none	CBS	plate a = grown from multiple colonies
A14	CBS8442	26.05.2006	none		S. paradoxus Far East	wild	none	CBS	plate b = grown from single
A15	CBS8442	26.05.2006	none		S. paradoxus Far East	wild	none	CBS	plate b = grown from single
A16	negative	26.05.2006	none		none	none	none	Douda Bensasson	H20 dipped then YPD innoculation negative control
A17	negative	26.05.2006	none		none	none	none	Douda Bensasson	H20 dipped then YPD innoculation negative control
A18	negative	26.05.2006	none		none	none	none	Douda Bensasson	H20 dipped then YPD innoculation negative control
A19	negative	26.05.2006	none		none	none	none	Douda Bensasson	H20 dipped then YPD innoculation negative control
A20	BY4741	18.06.2006	none		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	none	Nikki in Steve Oliver's lab	haploid, deletion project parental strain
A21	BY4741	18.06.2006	none		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	none	Nikki in Steve Oliver's lab	haploid, deletion project parental strain
A22	BY4741	18.06.2006	none		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	none	Nikki in Steve Oliver's lab	haploid, deletion project parental strain
